time;x;y;fx;fy
63;120;-120;0;0
126;120;-120;0;0
189;120;-120;0;31
252;120;-120;0;31
315;120;-120;0;31
378;120;-120;0;31
441;120;-120;0;31
504;120;-120;0;81
567;120;-120;0;81
630;120;-120;0;81
693;120;-120;0;81
756;120;-120;0;81
819;120;-117;0;233
882;120;-114;0;233
945;120;-110;0;233
1008;120;-103;0;233
1071;120;-100;0;233
1134;120;-97;0;293
1197;120;-93;-28;293
1260;120;-86;-28;293
1323;120;-82;-28;293
1386;120;-78;-28;293
1449;120;-75;-28;304
1512;120;-67;-34;304
1575;120;-64;-34;304
1638;120;-60;-34;304
1701;120;-57;-34;304
1764;120;-49;-37;309
1827;120;-46;-37;309
1890;120;-42;-37;309
1953;120;-38;-37;309
2016;120;-31;-37;301
2079;120;-27;-43;301
2142;120;-24;-43;301
2205;120;-20;-43;301
2268;120;-13;-43;301
2331;120;-9;-43;289
2394;120;-5;-47;289
2457;120;1;-47;289
2520;120;5;-47;289
2583;120;8;-47;289
2646;120;12;-47;270
2709;120;17;-48;270
2772;120;26;-48;270
2835;120;31;-48;270
2898;120;36;-48;270
2961;120;40;-48;270
3024;120;48;-56;229
3087;120;52;-56;229
3150;120;55;-56;229
3213;120;58;-56;229
3276;120;65;-56;229
3339;120;68;-55;161
3402;120;70;-55;161
3465;120;73;-55;161
3528;120;78;-55;161
3591;120;80;-55;161
3654;120;83;-56;170
3717;120;85;-56;170
3780;120;90;-56;170
3843;120;93;-56;170
3906;120;95;-56;170
3969;120;97;-60;113
4032;120;100;-60;113
4095;120;102;-60;113
4158;120;103;-60;113
4221;120;105;-60;113
4284;120;108;-59;114
4347;120;109;-59;114
4410;120;111;-59;114
4473;120;112;-59;114
4536;120;115;-61;114
4599;120;117;-61;114
4662;120;118;-61;114
4725;120;119;-61;114
4788;120;122;-61;114
4851;120;124;-55;26
4914;120;124;-55;26
4977;120;124;-55;26
5040;120;124;-55;26
5103;120;124;-55;-51
5166;120;124;-55;-51
5229;120;124;-56;-51
5292;120;124;-56;-51
5355;120;124;-56;-51
5418;120;124;-56;-63
5481;120;124;-56;-63
5544;120;124;-62;-63
5607;120;124;-62;-63
5670;120;124;-62;-63
5733;120;124;-62;-43
5796;120;124;-64;-43
5859;120;124;-64;-43
5922;120;124;-64;-43
5985;120;124;-64;-43
6048;120;124;-64;-49
6111;120;124;-70;-49
6174;120;124;-70;-49
6237;120;124;-70;-49
6300;120;124;-70;-49
6363;120;124;-70;-51
6426;120;124;-96;-51
6489;120;124;-96;-51
6552;120;124;-96;-51
6615;120;124;-96;-51
6678;120;124;-96;-78
6741;119;124;-129;-78
6804;116;124;-129;-78
6867;114;124;-129;-78
6930;112;124;-129;-78
6993;111;124;-129;-124
7056;107;121;-152;-124
7119;105;119;-152;-124
7182;103;117;-152;-124
7245;101;116;-152;-124
7308;97;110;-152;-250
7371;97;105;-81;-250
7434;97;100;-81;-250
7497;97;96;-81;-250
7560;97;86;-81;-250
7623;97;84;-81;-118
7686;95;82;-163;-118
7749;93;81;-163;-118
7812;88;77;-163;-118
7875;86;76;-163;-118
7938;83;74;-163;-112
8001;81;73;-163;-112
8064;74;70;-476;-112
8127;70;69;-476;-112
8190;66;67;-476;-112
8253;62;65;-476;-196
8316;55;58;-285;-196
8379;51;55;-285;-196
8442;48;52;-285;-196
8505;44;48;-285;-196
8568;37;42;-285;-213
8631;34;38;-289;-213
8694;30;35;-289;-213
8757;27;32;-289;-213
8820;20;25;-289;-270
8883;16;22;-289;-270
8946;12;18;-312;-270
9009;9;15;-312;-270
9072;2;8;-312;-270
9135;-1;4;-312;-277
9198;-4;1;-312;-277
9261;-8;-2;-190;-277
9324;-15;-11;-190;-277
9387;-18;-16;-190;-277
9450;-21;-21;-190;-277
9513;-23;-23;-190;-181
9576;-29;-28;-173;-181
9639;-31;-31;-173;-181
9702;-33;-33;-173;-181
9765;-38;-39;-173;-224
9828;-41;-42;-173;-224
9891;-44;-46;-232;-224
9954;-47;-49;-232;-224
10017;-51;-52;-232;-224
10080;-57;-59;-232;-202
10143;-60;-62;-232;-202
10206;-63;-65;-162;-202
10269;-66;-68;-162;-202
10332;-71;-75;-162;-202
10395;-73;-78;-162;-210
10458;-75;-82;-162;-210
10521;-78;-85;-182;-210
10584;-83;-91;-182;-210
10647;-85;-95;-182;-210
10710;-88;-98;-182;-170
10773;-90;-100;-182;-170
10836;-95;-105;-175;-170
10899;-98;-108;-175;-170
10962;-101;-110;-175;-170
11025;-103;-113;-175;-139
11088;-108;-117;-135;-139
11151;-110;-119;-135;-139
11214;-112;-120;-135;-139
11277;-114;-122;-135;-139
11340;-118;-124;-135;0
11403;-120;-124;-33;0
11466;-120;-124;-33;0
11529;-120;-124;-33;0
11592;-120;-124;-33;0
11655;-120;-124;-33;0
11718;-120;-124;-33;0
11781;-120;-121;-29;552
11844;-120;-114;-29;552
11907;-120;-110;-29;552
11970;-120;-107;-29;552
12033;-120;-103;-29;552
12096;-120;-99;0;122
12159;-120;-97;0;122
12222;-120;-96;0;122
12285;-120;-92;0;122
12348;-120;-91;0;-55
12411;-120;-91;0;-55
12474;-120;-91;0;-55
12537;-120;-91;0;-55
12600;-120;-96;0;-240
12663;-120;-100;0;-240
12726;-120;-104;0;-240
12789;-120;-107;0;-240
12852;-120;-114;0;-144
12915;-120;-116;0;-144
12978;-120;-118;-53;-144
13041;-120;-120;-53;-144
13104;-120;-124;-53;-144
13167;-120;-126;-53;0
13230;-120;-126;-53;0
13293;-120;-121;-57;602
13356;-120;-118;-57;602
13419;-120;-114;-57;602
13482;-120;-110;-57;602
13545;-120;-103;-34;172
13608;-120;-101;-34;172
13671;-120;-98;-34;172
13734;-120;-96;-34;172
13797;-120;-93;-34;172
13860;-120;-88;-34;172
13923;-120;-89;0;-120
13986;-120;-91;0;-120
14049;-120;-94;0;-120
14112;-120;-97;0;-373
14175;-120;-101;0;-373
14238;-120;-108;0;-373
14301;-120;-112;0;-373
14364;-120;-115;0;-373
14427;-120;-117;0;0
14490;-120;-117;0;0
14553;-120;-115;-74;114
14616;-120;-113;-74;114
14679;-120;-112;-74;114
14742;-120;-109;-74;114
14805;-120;-109;-74;114
14868;-120;-108;-73;82
14931;-120;-108;-73;82
14994;-120;-108;-73;82
15057;-120;-108;-73;-105
15120;-120;-108;-73;-105
15183;-120;-108;-27;-105
15246;-120;-108;-27;-105
15309;-120;-108;-27;-105
15372;-120;-108;-27;-55
15435;-120;-108;-27;-55
15498;-120;-108;-46;-55
15561;-120;-108;-46;-55
15624;-120;-108;-46;-45
15687;-120;-108;-46;-45
15750;-120;-108;-46;-45
15813;-120;-108;-36;-45
15876;-120;-108;-36;-45
15939;-120;-108;-36;-45
16002;-120;-108;-36;-51
16065;-120;-108;-36;-51
16128;-120;-108;-30;-51
16191;-120;-108;-30;-51
16254;-120;-108;-30;-51
16317;-120;-109;-30;-134
16380;-120;-113;-30;-134
16443;-120;-115;-42;-134
16506;-120;-116;-42;-134
16569;-120;-118;-42;-134
16632;-120;-119;-42;-34
16695;-120;-119;-42;54
16758;-120;-119;-28;54
16821;-120;-119;-28;54
16884;-120;-119;-28;54
16947;-120;-119;-28;54
17010;-120;-118;-28;179
17073;-120;-115;0;179
17136;-120;-110;0;179
17199;-120;-108;0;179
17262;-120;-105;0;179
17325;-120;-104;0;0
17388;-120;-104;0;0
17451;-120;-104;0;0
17514;-120;-104;0;-38
17577;-120;-104;0;-38
17640;-120;-104;0;-38
17703;-120;-104;0;-38
17766;-120;-104;0;-38
17829;-120;-104;0;-87
17892;-120;-104;0;-87
17955;-120;-104;0;-87
18018;-120;-104;0;-87
18081;-120;-104;0;-87
18144;-120;-104;0;-87
18207;-120;-104;0;-86
18270;-120;-104;0;-86
18333;-120;-104;0;-86
18396;-120;-104;0;-86
18459;-120;-104;0;-86
18522;-120;-108;0;-179
18585;-120;-110;0;-179
18648;-120;-113;0;-179
18711;-120;-115;0;-179
18774;-120;-118;0;-179
18837;-120;-119;0;-26
18900;-120;-119;0;-26
18963;-120;-119;0;-26
19026;-120;-119;0;-26
19089;-120;-119;0;0
19152;-120;-118;0;118
19215;-120;-117;0;118
19278;-120;-115;0;118
19341;-120;-114;0;118
19404;-120;-111;0;118
19467;-120;-109;0;118
19530;-120;-108;0;0
19593;-120;-108;0;0
19656;-120;-108;0;0
19719;-120;-108;0;-40
19782;-120;-108;0;-40
19845;-120;-108;0;-40
19908;-120;-108;0;-40
19971;-120;-108;0;-40
20034;-120;-108;0;-61
20097;-120;-108;0;-61
20160;-120;-108;0;-61
20223;-120;-108;0;-61
20286;-120;-108;0;-61
20349;-120;-108;0;-61
20412;-120;-108;0;-74
20475;-120;-108;0;-74
20538;-120;-108;0;-74
20601;-120;-108;0;-74
20664;-120;-108;0;-41
20727;-120;-108;0;-41
20790;-120;-108;0;-41
20853;-120;-108;0;-41
20916;-120;-108;0;-41
20979;-120;-108;0;0
21042;-120;-108;0;0
21105;-120;-108;0;0
21168;-120;-108;0;0
21231;-120;-108;0;0
21294;-120;-108;0;0
21357;-120;-108;0;0
21420;-120;-108;0;0
21483;-120;-108;0;0
21546;-120;-108;0;0
21609;-120;-108;0;0
21672;-120;-108;0;0
21735;-120;-108;0;0
21798;-120;-108;0;0
21861;-120;-108;0;0
21924;-120;-108;0;0
21987;-120;-108;0;0
22050;-120;-108;0;0
22113;-120;-108;0;0
22176;-120;-108;0;0
22239;-120;-108;0;0
22302;-120;-108;0;0
22365;-120;-108;0;0
22428;-120;-108;0;0
22491;-120;-108;0;0
22554;-120;-108;0;0
22617;-120;-108;0;0
22680;-120;-108;0;0
22743;-120;-108;0;0
22806;-120;-108;0;0
22869;-120;-108;0;0
22932;-120;-108;0;0
22995;-120;-108;0;0
23058;-120;-108;0;0
23121;-120;-108;0;0
23184;-120;-108;0;0
23247;-120;-108;0;0
23310;-120;-108;0;0
23373;-120;-108;0;0
23436;-120;-108;0;0
23499;-120;-108;0;0
23562;-120;-108;0;0
23625;-120;-108;0;0
23688;-120;-108;0;0
23751;-120;-108;0;0
23814;-119;-108;207;0
23877;-116;-108;207;0
23940;-109;-108;207;0
24003;-106;-108;207;0
24066;-103;-108;207;0
24129;-96;-108;294;0
24192;-92;-108;294;0
24255;-89;-108;294;0
24318;-82;-108;294;0
24381;-82;-108;294;0
24444;-73;-108;264;0
24507;-68;-108;264;0
24570;-64;-108;264;0
24633;-54;-108;264;0
24696;-50;-108;264;0
24759;-45;-108;250;0
24822;-40;-108;250;0
24885;-35;-108;250;0
24948;-26;-108;250;0
25011;-21;-108;250;0
25074;-18;-108;177;0
25137;-13;-108;177;0
25200;-11;-108;177;0
25263;-8;-108;177;0
25326;-6;-108;177;0
25389;0;-108;182;0
25452;1;-108;182;0
25515;4;-108;182;0
25578;6;-108;182;0
25641;11;-108;191;0
25704;15;-108;191;0
25767;18;-108;191;0
25830;21;-108;191;0
25893;28;-108;191;0
25956;31;-108;206;0
26019;34;-108;206;0
26082;37;-108;206;0
26145;44;-108;206;0
26208;47;-108;206;0
26271;50;-108;211;0
26334;54;-108;211;0
26397;60;-108;211;0
26460;63;-108;211;0
26523;67;-108;211;0
26586;70;-108;211;0
26649;76;-108;176;0
26712;78;-108;176;0
26775;81;-108;176;0
26838;83;-108;176;0
26901;86;-108;176;0
26964;90;-108;127;0
27027;92;-108;127;0
27090;93;-108;127;0
27153;95;-108;127;0
27216;98;-108;127;0
27279;99;-108;99;0
27342;99;-108;99;0
27405;99;-108;99;0
27468;99;-108;99;0
27531;99;-108;99;0
27594;99;-108;27;0
27657;99;-108;27;0
27720;99;-108;27;0
27783;99;-108;27;0
27846;99;-108;27;0
27909;99;-108;39;0
27972;99;-108;39;0
28035;99;-108;39;0
28098;99;-108;39;0
28161;99;-108;47;0
28224;99;-108;47;0
28287;99;-108;47;0
28350;99;-108;47;0
28413;99;-108;47;0
28476;99;-108;35;0
28539;99;-108;35;0
28602;99;-108;35;0
28665;99;-108;35;0
28728;99;-108;35;0
28791;99;-108;45;0
28854;99;-108;45;0
28917;99;-108;45;0
28980;99;-108;45;0
29043;99;-108;45;0
29106;99;-108;45;0
29169;102;-108;135;0
29232;104;-108;135;0
29295;106;-108;135;0
29358;108;-108;135;0
29421;112;-108;129;0
29484;112;-108;129;0
29547;116;-108;129;0
29610;117;-108;129;0
29673;121;-108;129;0
29736;121;-108;-26;0
29799;121;-108;-26;57
29862;121;-108;-26;57
29925;121;-108;-48;57
29988;121;-108;-48;57
30051;121;-108;-48;57
30114;121;-108;-48;0
30177;121;-108;-31;0
30240;121;-108;-31;0
30303;121;-108;-31;0
30366;121;-108;-31;0
30429;121;-108;-31;63
30492;121;-108;0;63
30555;121;-108;0;63
30618;121;-108;0;63
30681;121;-108;0;70
30744;121;-108;0;70
30807;121;-108;0;70
30870;121;-108;0;70
30933;121;-108;0;70
30996;121;-108;0;0
31059;121;-108;0;0
31122;121;-108;0;0
31185;121;-108;0;0
31248;121;-108;0;0
31311;121;-108;0;0
31374;121;-108;0;30
31437;121;-108;0;30
31500;121;-108;0;30
31563;121;-108;0;30
31626;121;-108;0;30
31689;121;-108;0;64
31752;121;-108;0;64
31815;121;-108;0;64
31878;121;-108;0;64
31941;121;-108;0;64
32004;121;-105;0;140
32067;121;-103;-37;140
32130;121;-101;-37;140
32193;121;-97;-37;140
32256;121;-95;-37;123
32319;121;-93;-37;123
32382;121;-92;-61;123
32445;121;-88;-61;123
32508;121;-87;-61;123
32571;121;-86;-61;0
32634;121;-86;-61;0
32697;121;-86;-136;0
32760;117;-86;-136;-52
32823;115;-86;-136;-52
32886;113;-86;-136;-52
32949;109;-86;-253;-52
33012;105;-86;-253;0
33075;101;-86;-253;0
33138;97;-86;-253;0
33201;89;-82;-253;230
33264;84;-79;-114;230
33327;82;-76;-114;230
33390;81;-72;-114;230
33453;78;-66;-114;230
33516;76;-65;-114;34
33579;75;-65;-114;34
33642;70;-65;-155;-37
33705;68;-65;-155;-37
33768;66;-65;-155;-37
33831;63;-65;-155;-37
33894;61;-65;-155;-37
33957;56;-65;-195;0
34020;53;-65;-195;0
34083;50;-65;-195;0
34146;47;-63;-195;793
34209;41;-56;-195;793
34272;40;-52;-96;793
34335;40;-48;-96;793
34398;40;-43;-96;0
34461;40;-43;-96;0
34524;40;-43;-96;0
34587;39;-43;-130;-36
34650;37;-43;-130;-36
34713;34;-43;-130;48
34776;32;-43;-130;48
34839;30;-43;-130;48
34902;29;-43;-144;48
34965;25;-43;-144;48
35028;25;-43;-144;48
35091;21;-38;-144;716
35154;17;-30;0;716
35217;17;-27;0;716
35280;17;-27;0;716
35343;17;-19;0;154
35406;17;-15;0;154
35469;17;-15;0;154
35532;17;-11;-64;154
35595;17;-9;-64;154
35658;17;-7;-64;84
35721;17;-6;-64;84
35784;17;-6;-64;84
35847;17;-6;-101;84
35910;17;-6;-101;84
35973;17;-6;-101;84
36036;17;0;-101;323
36099;17;2;-101;323
36162;16;6;-124;323
36225;14;10;-124;323
36288;11;15;-124;73
36351;9;15;-124;73
36414;8;15;-124;73
36477;6;15;-125;73
36540;2;15;-125;73
36603;1;15;-125;0
36666;0;15;-125;0
36729;-4;15;-136;0
36792;-6;15;-136;0
36855;-8;15;-136;0
36918;-9;15;-136;0
36981;-13;19;-136;361
37044;-15;23;-144;361
37107;-17;27;-144;361
37170;-19;31;-144;361
37233;-23;38;-144;49
37296;-25;38;-144;49
37359;-27;38;-98;49
37422;-27;38;-98;49
37485;-27;38;-98;49
37548;-27;38;-98;125
37611;-27;40;-98;125
37674;-27;41;-189;125
37737;-32;45;-189;125
37800;-35;46;-189;125
37863;-38;48;-189;125
37926;-41;50;-189;146
